datetime,content,title
2024-07-31 23:50:09,当地时间7月31日，美国西部地区现有多起山火仍在持续蔓延。科罗拉多州发生的大火已威胁到多个分区，紧急救援人员连夜赶往丹佛西南部，对大约600户居民进行疏散。当地警方表示，大火过火面积已于当日凌晨从50英亩（0.2平方公里）扩大至100英亩（0.4平方公里）。美国国家跨部门消防中心于30日表示，美国发生了89起大型山火，烧毁了总计210万英亩（8498平方公里）的土地，且过火面积还在增加。其中，俄勒冈州发生31起山火，加利福尼亚州发生10起山火，爱达荷州发生10起山火。（央视新闻）,美国西部多起山火持续蔓延，数百户居民被迫疏散
2024-07-31 23:48:08,"明晟公司MSCI北欧国家指数涨1.1%，连续第四个交易日走高、创7月12日以来最大单日涨幅，报402.84点。

诺和诺德收涨1.7%，对指数贡献最大；Aker BP ASA收涨3.5%，领跑其他成分股。",
2024-07-31 23:48:08,"明晟公司MSCI北欧国家指数涨1.1%，连续第四个交易日走高、创7月12日以来最大单日涨幅，报402.84点。

诺和诺德收涨1.7%，对指数贡献最大；Aker BP ASA收涨3.5%，领跑其他成分股。",
2024-07-31 23:48:08,"明晟公司MSCI北欧国家指数涨1.1%，连续第四个交易日走高、创7月12日以来最大单日涨幅，报402.84点。

诺和诺德收涨1.7%，对指数贡献最大；Aker BP ASA收涨3.5%，领跑其他成分股。",
2024-07-31 23:45:52,Novamarine SpA（NOVA.IM）意大利IPO首日平开，报3.60欧元。,
2024-07-31 23:44:29,当地时间7月31日，有知情人士透露称，北约国家提供的首批F-16战斗机已经运抵乌克兰，或将增强乌克兰抵御俄罗斯袭击的能力。知情人士表示，美国制造的战斗机的交付截止日期是7月底，且这一截止日期已经得到遵守。据悉，战机数量“很少”。截至目前，乌克兰官方暂未证实这一消息。（央视新闻）,北约国家提供的首批F-16战斗机已运抵乌克兰
2024-07-31 23:44:29,当地时间7月31日，有知情人士透露称，北约国家提供的首批F-16战斗机已经运抵乌克兰，或将增强乌克兰抵御俄罗斯袭击的能力。知情人士表示，美国制造的战斗机的交付截止日期是7月底，且这一截止日期已经得到遵守。据悉，战机数量“很少”。截至目前，乌克兰官方暂未证实这一消息。（央视新闻）,北约国家提供的首批F-16战斗机已运抵乌克兰
2024-07-31 23:44:29,当地时间7月31日，有知情人士透露称，北约国家提供的首批F-16战斗机已经运抵乌克兰，或将增强乌克兰抵御俄罗斯袭击的能力。知情人士表示，美国制造的战斗机的交付截止日期是7月底，且这一截止日期已经得到遵守。据悉，战机数量“很少”。截至目前，乌克兰官方暂未证实这一消息。（央视新闻）,北约国家提供的首批F-16战斗机已运抵乌克兰
2024-07-31 23:44:29,当地时间7月31日，有知情人士透露称，北约国家提供的首批F-16战斗机已经运抵乌克兰，或将增强乌克兰抵御俄罗斯袭击的能力。知情人士表示，美国制造的战斗机的交付截止日期是7月底，且这一截止日期已经得到遵守。据悉，战机数量“很少”。截至目前，乌克兰官方暂未证实这一消息。（央视新闻）,北约国家提供的首批F-16战斗机已运抵乌克兰
2024-07-31 23:34:59,"美国参议院民主党成员、“反垄断斗士”Warren敦促美联储主席鲍威尔本周降息。

国会议员Hickenlooper和Sheldon Whitehouse也参与此次致函鲍威尔。

美联储即将在北京时间02:00发布FOMC利率决议声明。",距离美联储宣布决议声明不到三小时，Warren敦促鲍威尔现在就降息
