datetime,content,title
2025-03-31 23:50:47,"周一（3月31日），南非富时/JSE非洲领先40可交易指数收跌0.96%，报81410.32点，一季度累计上涨将近8.00%。

南非兰特兑美元目前涨0.27%，北京时间23:50暂报18.3810兰特，一季度迄今累涨超2.45%，整体震荡上行，1月13日曾跌至19.2296兰特。

一季度，毛里求斯证交所SEMDEX指数累涨将近3.48%，尼日利亚证交所全部股指累涨超2.91%，肯尼亚内罗毕证交所全股指数累涨超5.93%。",非洲股市｜南非股指一季度累涨约8%，兰特有望累计升值超2.4%
2025-03-31 23:50:47,"周一（3月31日），南非富时/JSE非洲领先40可交易指数收跌0.96%，报81410.32点，一季度累计上涨将近8.00%。

南非兰特兑美元目前涨0.27%，北京时间23:50暂报18.3810兰特，一季度迄今累涨超2.45%，整体震荡上行，1月13日曾跌至19.2296兰特。

一季度，毛里求斯证交所SEMDEX指数累涨将近3.48%，尼日利亚证交所全部股指累涨超2.91%，肯尼亚内罗毕证交所全股指数累涨超5.93%。",非洲股市｜南非股指一季度累涨约8%，兰特有望累计升值超2.4%
2025-03-31 23:50:47,"周一（3月31日），南非富时/JSE非洲领先40可交易指数收跌0.96%，报81410.32点，一季度累计上涨将近8.00%。

南非兰特兑美元目前涨0.27%，北京时间23:50暂报18.3810兰特，一季度迄今累涨超2.45%，整体震荡上行，1月13日曾跌至19.2296兰特。

一季度，毛里求斯证交所SEMDEX指数累涨将近3.48%，尼日利亚证交所全部股指累涨超2.91%，肯尼亚内罗毕证交所全股指数累涨超5.93%。",非洲股市｜南非股指一季度累涨约8%，兰特有望累计升值超2.4%
2025-03-31 23:50:47,"周一（3月31日），南非富时/JSE非洲领先40可交易指数收跌0.96%，报81410.32点，一季度累计上涨将近8.00%。

南非兰特兑美元目前涨0.27%，北京时间23:50暂报18.3810兰特，一季度迄今累涨超2.45%，整体震荡上行，1月13日曾跌至19.2296兰特。

一季度，毛里求斯证交所SEMDEX指数累涨将近3.48%，尼日利亚证交所全部股指累涨超2.91%，肯尼亚内罗毕证交所全股指数累涨超5.93%。",非洲股市｜南非股指一季度累涨约8%，兰特有望累计升值超2.4%
2025-03-31 23:50:47,"周一（3月31日），南非富时/JSE非洲领先40可交易指数收跌0.96%，报81410.32点，一季度累计上涨将近8.00%。

南非兰特兑美元目前涨0.27%，北京时间23:50暂报18.3810兰特，一季度迄今累涨超2.45%，整体震荡上行，1月13日曾跌至19.2296兰特。

一季度，毛里求斯证交所SEMDEX指数累涨将近3.48%，尼日利亚证交所全部股指累涨超2.91%，肯尼亚内罗毕证交所全股指数累涨超5.93%。",非洲股市｜南非股指一季度累涨约8%，兰特有望累计升值超2.4%
2025-03-31 23:48:19,希腊雅典证交所综合指数收跌2.91%，报1685.24点，一季度累计上涨将近14.67%，3月28日曾达到1749.90点，逼近2010年8月5日顶部1793.37点。,希腊股指一季度涨超14%
2025-03-31 23:48:19,希腊雅典证交所综合指数收跌2.91%，报1685.24点，一季度累计上涨将近14.67%，3月28日曾达到1749.90点，逼近2010年8月5日顶部1793.37点。,希腊股指一季度涨超14%
2025-03-31 23:48:19,希腊雅典证交所综合指数收跌2.91%，报1685.24点，一季度累计上涨将近14.67%，3月28日曾达到1749.90点，逼近2010年8月5日顶部1793.37点。,希腊股指一季度涨超14%
2025-03-31 23:48:19,希腊雅典证交所综合指数收跌2.91%，报1685.24点，一季度累计上涨将近14.67%，3月28日曾达到1749.90点，逼近2010年8月5日顶部1793.37点。,希腊股指一季度涨超14%
2025-03-31 23:44:30,"明晟公司MSCI北欧国家指数跌1.8%，创3月10日（当天跌2.6%）以来最差单日表现，报351.08点，一季度累计下跌超过1.06%。

3月31日当天，Spotify Technology SA跌4.6%，对指数的拖累最大；Zealand Pharma A/S跌6.5%，在一众成分股里表现最差。",
